Name,Observed Wavelength of H-alpha,RA J2000.0,Dec J2000.0
NGC4494,6559.841048409813,12 31 24.1,+25 46 29
PGC041442,6582.140381783372,12 31 24.7,+09 28 28
PGC041454,6589.03786117205,12 31 31.7,+11 36 11
NGC4497,6577.60184324442,12 31 32.5,+11 37 29
AGC229380,6599.946825898377,12 31 32.8,+23 29 18
PGC041458,6596.261576345644,12 31 33.4,+12 03 50
IC3453,6605.380704115493,12 31 37.8,+14 51 32
PGC041469,6585.9385434895,12 31 39.0,+10 50 25
NGC4496A,6573.64550560894,12 31 39.3,+03 56 23
NGC4498,6583.847394280308,12 31 39.5,+16 51 10
PGC041463,6592.708908397849,12 31 42.4,+20 28 54
PGC041488,6566.8402284415615,12 31 48.0,-02 58 13
IC3457,6576.684341316916,12 31 51.4,+12 39 25
PGC041495,6578.452536877397,12 31 52.0,+12 28 54
SDSSJ123152.89+121559.0,6577.330063245965,12 31 52.9,+12 15 59
PGC041515,6612.84704040109,12 31 53.9,+14 18 23
PGC041502,6567.78762513383,12 31 53.9,+05 10 23
IC0797,6596.424251351443,12 31 54.8,+15 07 26
PGC041507,6562.359076384177,12 31 55.8,+08 36 08
IC3459,6590.875877195672,12 31 56.0,+12 10 26
PGC041508,6570.922085807543,12 31 56.4,+11 58 21
PGC1207749,6561.994272608134,12 31 59.0,+01 50 37
EVCC0819,6585.586766369707,12 31 59.1,+18 20 52
NGC4501,6605.775865877205,12 31 59.3,+14 25 12
PGC041516,6602.705570138001,12 32 00.8,+12 37 13
IC3461,6580.121580497005,12 32 02.7,+11 53 24
NGC4502,6570.355024138954,12 32 03.3,+16 41 16
IC3466,6574.663245230034,12 32 05.6,+11 49 04
NGC4503,6595.573681486251,12 32 06.2,+11 10 35
PGC041541,6585.100118746132,12 32 09.3,+12 50 20
PGC041544,6589.262011714453,12 32 09.6,+15 18 04
AGC229385 = ComaP,6589.858732588314,12 32 09.6,+20 25 46
PGC1126897,6568.279684756257,12 32 09.7,-01 05 42
NGC4506,6587.47979903924,12 32 10.5,+13 25 11
IC3465,6576.106699131517,12 32 12.2,+12 03 41
IC3468,6566.297994829309,12 32 14.2,+10 15 05
IC3473,6617.105822118468,12 32 19.1,+18 14 41
IC3471,6588.140377191895,12 32 22.8,+16 01 08
IC3470,6588.554021351558,12 32 23.4,+11 15 47
PGC041570,6573.311760038093,12 32 23.5,+11 53 36
PGC041571,6586.790858878044,12 32 23.6,-01 44 25
PGC041574,6584.417169423696,12 32 25.5,+05 39 20
NGC4517A,6581.53083268591,12 32 28.0,+00 23 26
UGC07688,6592.286278750263,12 32 32.4,+08 02 43
IC0798,6604.380775474707,12 32 33.4,+15 24 55
Mrk772,6593.927679956931,12 32 33.5,+09 10 25
PGC041592,6578.903882607037,12 32 35.8,+08 05 33
PGC041593,6579.228215935269,12 32 35.9,+09 53 11
PGC1161319,6554.30337879458,12 32 36.1,+00 15 45
PGC041598,6594.848432628218,12 32 36.2,+18 01 23
PGC041595,6586.4106173100845,12 32 36.2,+05 23 17
IC3474,6563.465943266669,12 32 36.5,+02 39 41
PGC041603,6577.776074384084,12 32 39.0,+10 05 31
IC3475,6607.874143690618,12 32 40.8,+12 46 16
IC3476,6587.455195616544,12 32 41.9,+14 03 02
PGC041607,6602.061464689798,12 32 42.7,+15 54 36
PGC169515,6601.178330521893,12 32 42.8,+15 02 10
IC3478,6599.483367497658,12 32 44.2,+14 11 46
NGC4437 = N4517,6562.918894334508,12 32 45.5,+00 06 52
PGC1198892,6581.899335120435,12 32 46.5,+01 34 09
PGC041619,6577.739350228801,12 32 46.7,+07 47 57
PGC041626,6565.993623920876,12 32 50.6,+02 47 51
PGC041631,6567.962832281901,12 32 51.3,+02 37 43
UGC07697,6595.223131379077,12 32 51.6,+20 11 01
PGC041644,6561.279527804379,12 32 55.6,+03 21 37
PGC041647,6569.046282985563,12 32 58.0,+04 34 42
NGC4515,6582.631408204655,12 33 05.0,+16 15 56
NGC4516,6583.986024283627,12 33 07.5,+14 34 30
KDG155,6578.436479605444,12 33 07.9,-00 31 58
PGC041664,6599.435078605195,12 33 09.0,+10 50 10
IC3483,6586.80904995625,12 33 10.1,+11 20 51
IC3487,6577.796308651157,12 33 13.5,+09 23 50
IC3490,6591.994764871215,12 33 13.9,+10 55 43
IC3486,6584.710973310043,12 33 14.0,+12 51 28
PGC041695,6572.896857838093,12 33 18.2,+02 02 48
UGC07707,6597.72945420842,12 33 18.5,+17 27 34
PGC041697,6569.443066198328,12 33 18.8,+09 07 14
IC3492,6568.971017249941,12 33 19.8,+12 51 13
PGC041700,6548.124227244886,12 33 20.8,+01 31 19
PGC041699,6583.027593171622,12 33 20.9,+07 51 16
NGC4519A,6566.515102629484,12 33 24.7,+08 41 27
PGC041712,6592.173645081541,12 33 26.5,+06 37 00
PGC041716,6543.080146551539,12 33 29.5,+03 47 38
NGC4519,6583.9908426432585,12 33 30.3,+08 39 17
PGC041720,6566.77231789556,12 33 31.6,+09 27 33
PGC041723,6574.3565590249855,12 33 34.7,+11 15 43
PGC041726,6565.81365287063,12 33 37.7,+07 52 17
NGC4522,6589.794562097694,12 33 39.7,+09 10 30
SDSSJ123340.31+124413.5,6587.4843193240295,12 33 40.3,+12 44 14
AGC742455,6591.045417199608,12 33 41.6,+23 59 14
PGC041734,6581.764624376353,12 33 42.2,+07 47 00
IC3499,6584.35952137708,12 33 44.9,+10 59 43
UGC07710,6589.931241932884,12 33 45.4,-02 38 58
NGC4523,6600.267828094837,12 33 48.1,+15 10 06
PGC041744,6579.532990867682,12 33 48.7,+12 46 48
IC3501,6597.684853774615,12 33 51.6,+13 19 21
UGC07715,6569.619773497249,12 33 55.7,+03 32 45
PGC041761,6572.348488967521,12 33 55.7,+05 43 08
PGC041762,6566.92452671071,12 33 56.1,+10 34 41
IC0800,6604.651236268202,12 33 56.7,+15 21 17
PGC1164663,6570.988501659675,12 33 58.6,+00 23 12
PGC041770,6553.745312041664,12 34 01.5,+05 57 10
PGC1205134,6591.352129035798,12 34 02.1,+01 45 56
NGC4526,6570.621849464943,12 34 03.0,+07 41 57
NGC4528,6589.466017858819,12 34 06.1,+11 19 16
PGC041782,6585.492836621486,12 34 06.7,+12 44 30
NGC4527,6578.2351458661315,12 34 08.5,+02 39 14
IC3509,6576.819801461731,12 34 11.5,+12 02 56
IC3510,6605.611334756267,12 34 14.8,+11 04 17
PGC041802,6564.460272984843,12 34 14.9,+02 17 47
NGC4531,6600.505759067009,12 34 15.9,+13 04 31
PGC041805,6595.599191543126,12 34 16.2,+16 03 30
PGC041807,6584.684992779315,12 34 16.9,+03 44 02
NGC4532,6559.575190764059,12 34 19.3,+06 28 05
NGC4535,6578.2876276183515,12 34 20.3,+08 11 53
NGC4533,6568.018577071511,12 34 22.0,+02 19 32
NGC4536,6563.271046520037,12 34 27.1,+02 11 17
PGC041826,6577.8906915939915,12 34 30.4,+11 44 04
PGC1181814,6561.679485096246,12 34 30.6,+01 00 41
IC3517,6569.527547210361,12 34 30.9,+09 09 16
IC3518,6602.767462089857,12 34 31.3,+09 37 24
IC3520,6562.061972146926,12 34 31.8,+13 30 13
PGC041831,6581.997287327886,12 34 32.2,+16 01 58
PGC041835,6584.1570189816875,12 34 32.6,+10 32 53
NGC4539,6605.886848235719,12 34 34.7,+18 12 10
PGC041840,6586.2276075985055,12 34 35.0,+02 34 07
PGC041845,6607.247599377811,12 34 38.4,+15 36 10
IC3521,6565.5693087840245,12 34 39.5,+07 09 37
DDO137,6562.06518309686,12 34 45.0,+06 18 03
PGC041863,6580.297634251136,12 34 45.2,+16 01 27
IC3522,6583.577268246064,12 34 45.7,+15 13 14
IC3530,6578.467070717479,12 34 49.3,+17 48 51
PGC041874,6588.662829072064,12 34 49.5,+06 50 11
NGC4540,6581.977743122661,12 34 50.8,+15 33 05
SDSSJ123453.22+241946.7,6582.905869619896,12 34 53.2,+24 19 46
PGC041890,6576.674353352904,12 35 01.0,+09 11 10
PGC041893,6574.908108498078,12 35 02.5,+05 25 31
PGC041907,6581.532625746307,12 35 07.8,+13 33 52
AGC225874,6583.381887903652,12 35 08.0,+12 30 20
PGC041906,6567.3681575264,12 35 08.2,+13 29 07
PGC041918,6573.933330862261,12 35 13.9,+10 25 53
PGC041917,6593.070764775665,12 35 14.7,+12 14 15
PGC3296254,6573.526521367822,12 35 18.2,-01 22 49
NGC4543,6576.658877176462,12 35 20.2,+06 06 54
PGC1811760,6598.85901778899,12 35 21.3,+27 33 49
SDSSJ123524.43+050253.8,6580.01364756937,12 35 24.4,+05 02 54
NGC4548,6588.019864149892,12 35 26.5,+14 29 46
IC3540,6577.109956589204,12 35 27.2,+12 45 01
PGC041937,6597.208605667577,12 35 28.0,+14 15 41
NGC4550,6587.418087106724,12 35 30.6,+12 13 15
PGC041942,6589.310532504849,12 35 30.9,+06 20 02
PGC041945,6602.407322662085,12 35 32.0,+16 36 44
NGC4562,6623.286430329904,12 35 34.6,+25 50 59
NGC4544,6567.087078080753,12 35 36.6,+03 02 04
PGC041959,6593.2533852883835,12 35 37.2,+12 22 55
NGC4551,6593.09214279389,12 35 38.0,+12 15 50
PGC041962,6584.759553728642,12 35 38.5,+09 35 22
NGC4552,6596.6228569244595,12 35 39.8,+12 33 22
PGC041979,6589.611296694553,12 35 45.5,+12 10 53
SDSSJ123549.46+201755.0,6574.364658006512,12 35 49.5,+20 17 55
PGC041994,6612.960714736616,12 35 51.9,+13 51 31
PGC041993,6578.802528233067,12 35 53.1,+11 40 55
PGC042001,6588.781178383552,12 35 56.6,+10 56 11
NGC4559,6584.960362747999,12 35 57.7,+27 57 35
AGC229321,6558.029522141356,12 35 59.1,+17 45 38
PGC042008,6567.847396430327,12 36 02.8,+07 12 01
PGC1129667,6573.239680333524,12 36 07.7,-00 59 18
NGC4561,6586.8748513103055,12 36 08.1,+19 19 22
IC3562,6570.2388133392815,12 36 10.6,+09 55 21
IC3571,6568.996481991049,12 36 20.0,+26 05 02
NGC4565,6588.494997200648,12 36 20.8,+25 59 15
PGC042046,6586.965186012125,12 36 24.8,+10 23 05
NGC4564,6588.662109592376,12 36 27.0,+11 26 21
2MASXJ12362919+1818022,6597.5862542174,12 36 29.2,+18 18 01
PGC042057,6613.456346881876,12 36 30.1,+13 32 33
PGC042059,6613.85454462933,12 36 30.6,+13 38 18
PGC042062,6591.120403806781,12 36 32.4,+13 44 54
NGC4567,6578.579556915074,12 36 32.7,+11 15 29
NGC4568,6585.690141516467,12 36 34.3,+11 14 20
SDSSJ123634.93+033831.3,6579.513665979166,12 36 34.9,+03 38 32
PGC042068,6574.78234398203,12 36 34.9,+08 03 17
PGC042072,6601.734537400748,12 36 36.7,+14 13 33
IC3576,6594.204330494688,12 36 37.8,+06 37 18
PGC042077,6589.143706874048,12 36 37.8,+10 56 18
IC3578,6594.1654398848505,12 36 39.4,+11 06 07
UGC07780,6589.163314103142,12 36 42.1,+03 06 31
IC3583,6563.230137477096,12 36 43.6,+13 15 32
PGC042084,6593.49607120505,12 36 47.1,+14 44 23
PGC042087,6578.836462866889,12 36 49.0,+04 06 16
NGC4569,6572.698989208545,12 36 49.9,+13 09 48
PGC042091,6601.6665152402975,12 36 51.1,+12 57 32
PGC1139671,6593.586147358845,12 36 51.9,-00 35 16
NGC4570,6584.582303485989,12 36 53.4,+07 14 48
IC3586,6601.166389136448,12 36 54.8,+12 31 12
PGC091215,6539.616109382455,12 36 55.0,+01 36 54
PGC1172855,6562.556222343427,12 36 56.1,+00 41 26
NGC4571,6583.248451635961,12 36 56.4,+14 13 02
AGC742507,6587.118565733977,12 37 01.4,+22 00 31
IC3591,6564.351798682656,12 37 02.8,+06 55 34
PGC042110,6578.707117219727,12 37 07.0,+05 25 18
PGC042114,6584.500793252994,12 37 09.7,+10 16 20
PGC042132,6598.652004244519,12 37 17.2,+10 53 17
PGC1159978,6552.244610196024,12 37 18.8,+00 12 48
PGC042136,6576.852204198088,12 37 22.2,+12 17 13
AGC229180,6561.471941201545,12 37 26.5,+01 39 42
PGC042144,6567.524996650449,12 37 28.5,+08 47 40
PGC042147,6611.111377350125,12 37 28.9,+12 21 11
PGC042143,6575.99968679271,12 37 29.1,+04 45 04
NGC4578,6587.315177059819,12 37 30.6,+09 33 18
PGC042155,6564.479615120778,12 37 34.3,+08 28 55
PGC042160,6571.295705104146,12 37 41.3,+08 33 32
NGC4579,6584.010725699458,12 37 43.5,+11 49 05
SDSSJ123743.70+181556.0,6593.586897304274,12 37 43.7,+18 15 56
DDO139,6583.126286794842,12 37 45.3,+07 06 17
PGC042171,6580.383807743949,12 37 45.5,+09 59 04
SDSSJ123745.89+181750.2,6572.218237491718,12 37 45.9,+18 17 50
PGC1089367,6566.796282723123,12 37 47.0,-02 31 59
PGC042173,6548.657653165105,12 37 48.3,-01 20 41
NGC4580,6583.413644993242,12 37 48.4,+05 22 07
AGC732194,6598.307193116169,12 37 58.2,+24 02 39
PGC042193,6605.27915730625,12 38 00.4,+14 10 42
UGC07798,6583.772519313268,12 38 03.3,-02 15 50
NGC4581,6567.4676890009205,12 38 05.2,+01 28 40
IC3602,6596.002507197776,12 38 06.8,+10 04 57
PGC042204,6587.179897316155,12 38 06.9,+10 09 55
PGC042211,6599.782362018334,12 38 09.7,+13 34 51
PGC042218,6572.797413205848,12 38 15.5,+06 59 39
PGC042219,6597.421477236574,12 38 15.9,+14 52 12
NGC4584,6586.283497805195,12 38 17.9,+13 06 36
PGC042225,6593.369975754638,12 38 18.5,+07 13 02
PGC2832117,6589.469693424695,12 38 20.0,+27 39 36
UGC07802,6585.302760699826,12 38 20.9,+07 53 29
IC3605,6595.560233751526,12 38 21.0,+19 32 29
PGC1187621,6554.316053593566,12 38 21.7,+01 12 08
PGC042242,6588.284298211863,12 38 27.7,+14 04 38
NGC4586,6567.7444601797415,12 38 28.4,+04 19 09
PGC042248,6568.1827903471085,12 38 32.2,+10 22 36
NGC4587,6563.931793504308,12 38 35.4,+02 39 26
PGC042257,6585.986957057201,12 38 36.6,+06 30 12
PGC042265,6596.676630148277,12 38 37.6,+09 40 30
AGC225847,6593.3263171973385,12 38 56.9,+13 33 07
PGC1177211,6583.636290849407,12 39 02.5,+00 50 59
IC3612,6598.012023691554,12 39 04.7,+14 43 51
PGC1103962,6549.705081708543,12 39 05.8,-02 00 44
PGC042318,6586.376800982871,12 39 11.7,+08 04 21
NGC4591,6570.544025478394,12 39 12.4,+06 00 44
PGC042325,6566.352401799113,12 39 14.2,+15 37 36
PGC042332,6593.851367428677,12 39 15.7,+11 16 11
NGC4592,6585.819424701815,12 39 18.7,-00 31 55
PGC1275680,6588.290391914688,12 39 19.3,+04 56 38
PGC042340,6572.4209248141315,12 39 21.9,+04 56 12
IC3617,6579.996580238458,12 39 24.8,+07 57 56
PGC042350,6594.197970261938,12 39 27.1,+11 46 35
PGC042357,6575.608070694723,12 39 30.1,+12 40 51
EVCC1002,6612.398259853536,12 39 30.2,+18 22 06
IC3625B,6577.826834018745,12 39 37.7,+10 58 33
PGC042378,6588.022404098189,12 39 40.1,+09 23 56
PGC042381,6595.690446763763,12 39 42.8,+13 36 27
PGC1260930,6570.654650980528,12 39 49.8,+03 56 08
UGC07824,6574.8397192086395,12 39 50.4,+01 40 20
NGC4595,6580.795144121857,12 39 51.9,+15 17 52
PGC042710,6588.6592821143695,12 42 40.8,+13 16 00
SDSSJ123955.45+095520.7,6577.482182931825,12 39 55.5,+09 55 21
PGC042400,6598.835889233746,12 39 55.6,+11 51 28
NGC4596,6576.9002213830045,12 39 55.9,+10 10 34
KDG177,6578.44848371402,12 39 58.5,+13 46 54
AGC749241,6600.7990797189605,12 40 01.7,+26 19 19
PGC1128047,6561.156840283442,12 40 02.8,-01 03 00
PGC042417,6583.632647084472,12 40 05.2,+05 45 32
PGC1145528,6542.65313007823,12 40 08.8,-00 21 05
UGCA379,6559.599960705572,12 40 10.4,+06 50 48
IC3633,6598.478504781684,12 40 11.3,+09 53 46
NGC4598,6574.429305350635,12 40 11.9,+08 23 01
IC3635,6589.322799944729,12 40 13.4,+12 52 29
PGC042436,6566.518619810691,12 40 17.7,+06 43 55
IC3637,6579.595810772605,12 40 19.6,+14 42 54
PGC042442,6570.149948114606,12 40 19.7,+15 56 07
NGC4600,6578.254657865374,12 40 23.0,+03 07 04
PGC042449,6551.899687793505,12 40 23.9,+02 36 31
PGC042454,6557.902783052807,12 40 25.9,+04 03 01
NGC4599,6591.356535850849,12 40 27.1,+01 11 49
PGC1174996,6586.954035740551,12 40 35.2,+00 46 13
SDSSJ124042.09+054856.1,6567.507045525247,12 40 42.1,+05 48 55
PGC1166209,6563.112340293768,12 40 48.5,+00 26 57
AGC732226,6599.886758444686,12 40 48.8,+25 56 38
AGC229001,6577.03168901369,12 40 49.7,+27 33 50
PGC042497,6585.631140975291,12 40 50.3,+04 31 33
IC3647,6575.309463511171,12 40 53.0,+10 28 34
PGC042513,6586.49856334809,12 40 57.3,+15 16 31
NGC4606,6590.0199893868585,12 40 57.5,+11 54 42
IC3652,6589.790131801258,12 40 58.6,+11 11 04
SDSSJ124101.06+094306.4,6576.325884797582,12 41 01.1,+09 43 06
PGC042537,6598.068081987439,12 41 10.2,+08 00 14
UGC07841,6557.816344666238,12 41 11.6,+01 24 37
PGC1097431,6529.179297212121,12 41 12.3,-02 15 04
NGC4607,6599.014275895517,12 41 12.3,+11 53 11
NGC4608,6579.330960046836,12 41 13.3,+10 09 21
PGC042547,6579.694667368315,12 41 15.4,+11 17 55
IC3653,6586.559524668725,12 41 15.7,+11 23 14
PGC2832063,6561.9920877404975,12 41 19.2,+01 32 53
PGC042553,6577.628396424049,12 41 19.4,+06 31 24
IC3658,6617.187418260876,12 41 20.6,+14 42 02
SDSSJ124125.41+191317.5,6582.884827741746,12 41 25.4,+19 13 17
PGC042566,6588.627251445199,12 41 27.4,+11 08 45
PGC1136400,6562.129635745069,12 41 29.2,-00 43 12
PGC042571,6595.870056061864,12 41 29.4,+10 45 47
NGC4612,6589.619805519328,12 41 32.8,+07 18 54
PGC1207559,6563.90937061283,12 41 39.2,+01 50 17
PGC042586,6606.554233059432,12 41 39.4,+12 14 51
SDSSJ124142.58+243105.0,6599.777747585716,12 41 42.6,+24 31 05
PGC042596,6564.850124044069,12 41 45.2,+04 00 24
IC3665,6574.23342926967,12 41 46.7,+11 29 18
PGC042602,6578.256288753789,12 41 48.9,+11 11 29
UGC07854,6577.140657854367,12 41 52.0,+09 24 11
UGC07857,6581.266120674385,12 41 54.3,+13 46 23
PGC042609,6576.1224874297795,12 41 54.6,+09 35 05
SDSSJ124155.33+114003.7,6590.6670123434305,12 41 55.3,+11 40 04
PGC042613,6558.538778376733,12 41 57.1,+03 49 09
PGC042615,6566.55957064565,12 41 57.3,+13 04 05
AGC229381,6565.91262755869,12 41 58.3,+23 01 31
NGC4620,6587.907021489608,12 41 59.3,+12 56 34
NGC4621,6585.684873032081,12 42 02.2,+11 38 50
PGC042626,6607.297944219208,12 42 02.7,+15 38 11
PGC042634,6582.228104581912,12 42 07.4,+11 49 41
IC0809,6565.102750868188,12 42 08.7,+11 45 15
IC0810,6583.131221003578,12 42 09.1,+12 35 49
NGC4623,6587.140382158954,12 42 10.7,+07 40 37
PGC042668,6542.81183747998,12 42 17.8,+03 28 07
PGC042669,6597.4899457458605,12 42 18.2,+10 34 03
PGC042666,6588.419175534025,12 42 18.6,+05 44 22
PGC086641,6586.107301932757,12 42 20.6,+17 30 35
PGC042673,6557.465063804958,12 42 21.3,+02 04 00
PGC042679,6568.356066659507,12 42 26.5,+11 44 25
PGC1155762,6585.901453070236,12 42 27.8,+00 02 53
PGC1184482,6570.363140460739,12 42 28.6,+01 05 51
SDSSJ124230.91+054354.1,6565.50210816288,12 42 30.9,+05 43 54
NGC4630,6595.351043457508,12 42 31.1,+03 57 35
NGC4632,6574.239108913903,12 42 32.3,-00 04 54
NGC4629,6574.64001835733,12 42 32.7,-01 21 02
NGC4633,6594.988141577929,12 42 37.3,+14 21 26
NGC4635,6602.619209601434,12 42 39.2,+19 56 43
NGC4634,6577.920657363034,12 42 40.9,+14 17 46
PGC1170050,6562.815487285489,12 42 42.9,+00 35 32
PGC042717,6575.3104710726475,12 42 44.9,+07 20 20
PGC042724,6546.590724984703,12 42 45.3,+03 25 50
PGC042723,6606.789883746165,12 42 46.0,+09 30 39
NGC4638,6594.126422680862,12 42 47.4,+11 26 33
NGC4636,6593.13502748435,12 42 49.7,+02 41 19
PGC042737,6570.5572808155675,12 42 50.8,+12 18 31
NGC4639,6601.002917285928,12 42 52.4,+13 15 26
PGC042748,6562.964468579765,12 42 56.3,+03 40 36
NGC4640,6598.193331326146,12 42 57.8,+12 17 13
PGC042754,6578.6042569008605,12 42 58.0,+10 40 55
PGC1215961,6543.46013167539,12 42 59.8,+02 06 04
PGC042757,6604.760671882416,12 43 00.3,+16 05 14
PGC042758,6588.461631913954,12 43 02.2,+11 41 53
PGC1143249,6539.639043381753,12 43 03.3,-00 26 26
AGC732245,6591.839139179168,12 43 05.9,+24 27 04
PGC042768,6591.156084129113,12 43 07.5,+07 39 17
NGC4641,6590.091416794549,12 43 07.7,+12 03 04
PGC042771,6605.667226219073,12 43 08.2,+14 31 12
PGC042779,6577.094279067216,12 43 10.4,+11 02 13
NGC4642,6559.209223465082,12 43 17.8,-00 38 40
PGC1117977,6562.395136343705,12 43 18.4,-01 28 02
NGC4643,6566.550028931947,12 43 20.1,+01 58 43
PGC042796,6586.717914270141,12 43 20.8,+08 57 03
PGC042799,6567.528421307207,12 43 21.0,+03 25 13
SDSSJ124322.80+054555.2,6579.33169183862,12 43 22.8,+05 45 55
PGC042801,6573.788479206337,12 43 23.2,+14 10 21
AGC732250,6596.496373884259,12 43 24.2,+24 31 30
PGC042811,6587.963895832675,12 43 29.0,+10 05 35
PGC042812,6596.170663158003,12 43 30.9,+11 02 50
PGC3295391,6558.258103769646,12 43 31.5,-00 28 43
NGC4647,6577.006901438655,12 43 32.6,+11 34 56
PGC1186061,6564.594801869577,12 43 36.9,+01 09 01
NGC4649,6601.062140590591,12 43 40.0,+11 33 10
NGC4651,6576.868834494402,12 43 42.7,+16 23 37
PGC042842,6580.803958975448,12 43 48.0,+08 45 38
NGC4653,6564.059184066843,12 43 50.9,-00 33 40
PGC042846,6571.388070170807,12 43 51.0,+11 28 01
PGC042853,6590.377496380496,12 43 53.3,+10 44 44
PGC1233057,6554.7461913931365,12 43 53.5,+02 38 00
SDSSJ124354.11+163250.5,6582.449482493182,12 43 54.1,+16 32 51
NGC4654,6579.336363531737,12 43 56.6,+13 07 35
PGC1279854,6588.497279818772,12 43 57.7,+05 12 48
EVCC1111,6540.260142517617,12 44 01.4,+04 01 12
PGC042870,6611.4714835409495,12 44 04.4,+13 15 03
PGC1242969,6567.849691113571,12 44 08.0,+03 00 22
PGC042878,6584.010572497552,12 44 09.4,+11 10 36
UGC07906,6577.673124966203,12 44 09.6,+12 06 52
PGC1255427,6583.118638605183,12 44 11.7,+03 36 24
PGC042884,6581.469399203166,12 44 12.0,+12 56 31
PGC1227738,6570.326266916377,12 44 14.9,+02 27 43
PGC1234100,6575.177375004797,12 44 17.4,+02 40 02
SDSSJ124420.88+060522.5,6577.680699086751,12 44 20.9,+06 05 23
AGC732257,6570.742866089269,12 44 24.9,+24 54 14
PGC042902,6582.89133441341,12 44 25.6,+03 31 31
UGC07911,6541.766658539495,12 44 28.8,+00 28 05
NGC4659,6604.673197187658,12 44 29.4,+13 29 55
NGC4660,6574.703896184679,12 44 32.0,+11 11 26
PGC042920,6553.736764099163,12 44 33.4,+01 44 13
PGC1189866,6557.707543223728,12 44 34.4,+01 16 31
UGCA294,6616.2120569420795,12 44 38.2,+28 28 21
PGC1283313,6569.954596195921,12 44 42.0,+05 25 49
IC3718,6596.899680570391,12 44 45.4,+12 21 06
PGC042945,6572.178327747908,12 44 46.0,+08 58 49
PGC3295333,6555.023197848501,12 44 46.1,-00 25 43
IC3720,6568.352044050336,12 44 47.4,+12 03 53
IC3716,6582.025531069685,12 44 47.5,+08 06 25
SDSSJ124451.77+162505.5,6595.024042148543,12 44 51.8,+16 25 06
AGC225876,6591.847715812229,12 44 57.9,+12 01 47
IC3727,6575.033231799003,12 45 05.6,+10 54 03
NGC4624,6564.565106285027,12 45 05.9,+03 03 20
NGC4666,6545.305175705952,12 45 08.6,-00 27 43
PGC042978,6567.297917324688,12 45 09.7,+10 37 47
PGC042980,6593.317648958311,12 45 11.8,+10 19 28
PGC042982,6571.465745790382,12 45 15.4,+07 36 56
NGC4670,6617.077379006165,12 45 17.2,+27 07 32
IC3735,6582.639067291418,12 45 20.4,+13 41 34
UGC07929,6582.963753383248,12 45 20.7,+21 25 38
IC3740,6574.27468089672,12 45 30.6,+20 48 58
IC3742,6583.615779033933,12 45 31.9,+13 19 56
NGC4668,6589.09620085317,12 45 32.0,-00 32 08
EVCC1141,6592.951803722035,12 45 33.3,+10 29 26
PGC1212399,6566.286650242275,12 45 35.3,+01 59 19
PGC043013,6593.600907395341,12 45 37.5,+13 19 43
PGC043019,6579.383025456174,12 45 40.2,+09 24 22
PGC1103489,6554.772746920116,12 45 41.6,-02 01 51
SDSSJ124545.05+121408.5,6587.79106486972,12 45 45.1,+12 14 09
PGC1143451,6542.493018371095,12 45 47.9,-00 25 56
AGC227970,6589.869320333964,12 46 01.4,+04 22 52
PGC043051,6594.958723494595,12 46 04.4,+08 28 35
PGC043056,6585.710755625968,12 46 07.9,+10 09 44
AGC732281,6591.145745945559,12 46 10.7,+26 15 01
PGC1124896,6569.25889529094,12 46 13.9,-01 10 42
PGC043072,6591.6028615910745,12 46 15.3,+10 12 20
PGC1214263,6595.7056637869055,12 46 16.4,+02 02 46
PGC1249354,6563.533832355514,12 46 33.2,+03 17 56
SDSSJ124637.60+221446.8,6588.6961985621765,12 46 37.6,+22 14 47
UGC07942,6568.981594241398,12 46 38.2,+09 18 26
AGC226178,6599.253222230472,12 46 42.8,+10 22 09
UGC07943,6583.987447147872,12 46 45.8,+05 57 19
PGC043108,6547.448617561606,12 46 49.4,+03 00 23
SDSSJ124649.44+024248.3,6536.426731229128,12 46 49.4,+02 42 49
SDSSJ124654.54+022135.3,6561.058770586966,12 46 54.5,+02 21 36
UGCA298,6580.10248134356,12 46 55.4,+26 33 51
PGC043119,6573.053336961288,12 46 55.5,+10 10 57
UGC07945,6593.024455669901,12 47 01.0,-01 34 41
IC3773,6607.326596473861,12 47 15.3,+10 12 13
UGC07953,6590.105429484635,12 47 16.1,+11 45 37
IC3779,6592.519873330319,12 47 20.6,+12 09 59
PGC3295235,6541.476606025068,12 47 28.3,-00 08 17
PGC043180,6559.3393355717335,12 47 39.3,+09 09 27
PGC043183,6593.886203432182,12 47 44.3,+12 08 00
NGC4689,6593.516774441893,12 47 45.6,+13 45 45
NGC4688,6584.522688090098,12 47 46.6,+04 20 13
KK164,6585.7534547283785,12 47 59.6,+04 26 00
PGC043215,6595.749163686616,12 47 59.8,+04 41 42
PGC043211,6592.885609191068,12 48 00.1,+10 58 13
AGC228094,6601.467548490384,12 48 07.4,+27 11 33
NGC4694,6620.523263705478,12 48 15.1,+10 59 01
NGC4698,6570.590767651379,12 48 22.9,+08 29 15
SDSSJ124823.09+050816.3,6594.04665265024,12 48 23.1,+05 08 16
PGC043261,6575.714013893402,12 48 27.1,+10 33 29
PGC043285,6585.763849712701,12 48 43.7,+11 58 09
IC3806,6591.751378619817,12 48 55.4,+14 54 28
PGC043309,6566.352564611212,12 48 58.4,+10 35 12
NGC4701,6584.5128046246555,12 49 11.6,+03 23 19
UGC07976,6576.7614977490275,12 49 15.7,+04 39 22
PGC1267592,6581.825711772575,12 49 25.7,+04 23 33
SDSSJ124936.90+215505.7,6595.855837839217,12 49 36.9,+21 55 05
